module,time_s,peak_kb,ir_lines,status,seed_version
llvm__lowering__instructions_if,8.13,1144944,9780,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__instructions_let,9.37,925360,7062,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__instructions_loops,7.56,807472,6182,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__instructions_match_condition,8.82,720400,5265,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__instructions_match,11.47,1347248,9136,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__instructions_routine,4.40,430592,2233,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__instructions_try,9.37,903872,5455,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__instructions,7.04,991024,7722,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__lowering_core,9.51,1735520,11882,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__lowering_helpers_mangling,3.31,632192,6363,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__lowering_helpers,5.22,1189120,8238,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__lowering_io,0.96,163520,1841,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__lowering_native_helpers,0.49,180864,1850,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__lowering_phase_functions,4.14,438624,3094,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__lowering_phase_imports,3.23,354832,2391,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__lowering_phase_render,2.17,256512,2129,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__lowering_phase_sanitize,4.10,465296,3356,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__lowering_phase_types,1.41,201760,1534,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__lowering_recovery,4.43,1093264,15183,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__lowering_text_utils,0.98,169824,1935,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__module_globals,2.29,373120,4254,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__phi,1.31,311600,3821,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__lowering__type_descriptors,1.07,209552,2421,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__mod,4.78,614928,1846,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__rendering_helpers,1.82,341072,4146,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__rendering,2.60,415120,5052,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__runtime_helpers,9.97,3129856,16341,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__strings,1.00,152656,1776,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__type_context_queries,1.88,349248,3089,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__type_context,2.30,528112,4508,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__type_mapping,1.77,560256,8795,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__types,0.86,182144,679,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
llvm__utils,1.01,270032,4176,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
lock,0.76,105264,1495,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
main,10.07,974672,5651,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
native_ir_api,2.15,380048,3185,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
native_ir_parser_defs,2.08,567584,6147,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
native_ir_parser_instructions,1.22,259888,3170,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
native_ir_parser,2.03,398800,4496,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
native_ir_utils_layout,1.10,444976,7471,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
native_ir_utils_parse,1.49,692000,7696,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
native_ir_utils_text,0.45,162176,3014,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
native_ir,0.33,77872,323,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
num_format,0.23,52336,322,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
ownership_checker,3.29,789168,10853,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
parser__declarations,5.72,1876832,13951,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
parser__expressions,5.01,1120240,10362,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
parser__mod,4.70,488784,2313,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
parser__statements,4.94,1010048,8750,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
parser__token_utils,1.39,539968,10176,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
parser__types,0.46,103936,410,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
parser__utils,0.33,93728,1188,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
prelude_globals,0.72,98912,884,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
prelude_scan,0.76,98592,808,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
reexport_check,0.53,131936,2092,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
runtime_capsule_resolver,0.60,143760,1894,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
string_utils,0.29,86080,936,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
test_runner_json,0.62,169776,2074,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
test_runner_state,0.50,106784,1276,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
token,0.23,48272,207,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
toml_parser,0.61,269008,4870,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
tools__check,5.94,444400,3063,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
tools__fmt_rules,0.34,111184,1308,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
tools__fmt,1.94,811872,12721,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
typecheck_captures,1.09,527216,7673,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
typecheck_import_loader,0.99,138432,1047,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
typecheck_imports,0.54,123584,971,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
typecheck_types,2.31,1076176,12297,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
typecheck,3.70,1197776,14011,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
version,0.59,96672,1064,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
